sample_index,true_class_id,true_class_name,predicted_class_id,predicted_class_name,correct,max_mean_confidence,predictive_entropy_nats,normalized_predictive_entropy,mean_class_variance,max_class_variance
0,0,IDLE,0,IDLE,1,0.9937949776649475,0.04383353516459465,0.027235304936766624,1.4508328604279086e-05,5.1025854190811515e-05
1,0,IDLE,0,IDLE,1,0.9924986362457275,0.049781862646341324,0.03093121014535427,1.1364846614014823e-05,3.302513141534291e-05
2,0,IDLE,0,IDLE,1,0.976872980594635,0.11365702003240585,0.07061907649040222,0.0007527603884227574,0.001890969113446772
3,0,IDLE,0,IDLE,1,0.9796562194824219,0.11114852875471115,0.06906046718358994,0.0003438801213633269,0.0008574121166020632
4,0,IDLE,0,IDLE,1,0.9783477783203125,0.11132921278476715,0.06917272508144379,0.0005947760073468089,0.0015607804525643587
5,0,IDLE,0,IDLE,1,0.9801031947135925,0.11529193818569183,0.07163491100072861,0.00018000227282755077,0.0004040462663397193
6,0,IDLE,0,IDLE,1,0.9818809628486633,0.10711418837308884,0.06655378639698029,0.00015730394807178527,0.0005443114787340164
7,0,IDLE,0,IDLE,1,0.99703049659729,0.021468838676810265,0.013339339755475521,2.647908331709914e-06,6.931539246579632e-06
8,0,IDLE,0,IDLE,1,0.9976478219032288,0.017598604783415794,0.010934628546237946,1.3566584584623342e-06,3.4029833386739483e-06
9,0,IDLE,0,IDLE,1,0.9885948896408081,0.07535360008478165,0.04681982472538948,0.00013153001782484353,0.0004810644022654742
10,0,IDLE,0,IDLE,1,0.9747348427772522,0.13679130375385284,0.08499322086572647,0.0002899868122767657,0.0007617498631589115
11,0,IDLE,0,IDLE,1,0.9966978430747986,0.02438829466700554,0.015153300017118454,9.314680937677622e-06,2.763394695648458e-05
12,0,IDLE,0,IDLE,1,0.9962403178215027,0.028066281229257584,0.017438560724258423,3.4653226066438947e-06,8.410644113610033e-06
13,0,IDLE,0,IDLE,1,0.9950860142707825,0.033148687332868576,0.02059643715620041,2.0178742488496937e-05,5.3760340961162e-05
14,0,IDLE,0,IDLE,1,0.9721417427062988,0.14113952219486237,0.0876949205994606,0.0006774512003175914,0.0017064374405890703
15,0,IDLE,0,IDLE,1,0.9939808249473572,0.04227862134575844,0.026269184425473213,8.927235285227653e-06,2.206906719948165e-05
16,0,IDLE,0,IDLE,1,0.9934393167495728,0.040512021631002426,0.025171535089612007,4.844321665586904e-05,0.00012210158456582576
17,0,IDLE,0,IDLE,1,0.9968883991241455,0.02332639880478382,0.014493506401777267,3.2757650387793547e-06,8.947773494583089e-06
18,0,IDLE,0,IDLE,1,0.8983762264251709,0.34422749280929565,0.21388056874275208,0.0006820948328822851,0.001734039164148271
19,0,IDLE,0,IDLE,1,0.998986005783081,0.008745132014155388,0.005433655809611082,2.4740029402892105e-07,6.070176823413931e-07
20,0,IDLE,0,IDLE,1,0.9983000159263611,0.012975543737411499,0.008062158711254597,1.7244907439817325e-06,4.3629074752971064e-06
21,0,IDLE,0,IDLE,1,0.9951143860816956,0.03337637335062027,0.02073790691792965,4.76460127174505e-06,1.2864463315054309e-05
22,0,IDLE,0,IDLE,1,0.9907424449920654,0.05651795119047165,0.03511657938361168,7.429175457218662e-05,0.00019654475909192115
23,0,IDLE,0,IDLE,1,0.9969544410705566,0.021871913224458694,0.013589783571660519,3.3353369417454815e-06,8.466304279863834e-06
24,0,IDLE,0,IDLE,1,0.9990341663360596,0.008178137242794037,0.005081362556666136,5.494367201208661e-07,1.3738870165980188e-06
25,0,IDLE,0,IDLE,1,0.9730003476142883,0.13962557911872864,0.08675424754619598,0.00047056638868525624,0.0012016441905871034
26,0,IDLE,0,IDLE,1,0.9974905252456665,0.019055427983403206,0.01183980330824852,2.3677253011555877e-06,6.552391369041288e-06
27,0,IDLE,0,IDLE,1,0.9961599707603455,0.028079168871045113,0.017446568235754967,6.734081580361817e-06,1.440474261471536e-05
28,0,IDLE,0,IDLE,1,0.9980612397193909,0.015280574560165405,0.009494354948401451,1.400616724822612e-06,4.3726040530600585e-06
29,0,IDLE,0,IDLE,1,0.9982215762138367,0.01376284845173359,0.0085513386875391,2.585996128345869e-07,6.88293766870629e-07
30,0,IDLE,0,IDLE,1,0.9934295415878296,0.04409346729516983,0.02739681303501129,2.4458955522277392e-05,6.20937134954147e-05
31,0,IDLE,0,IDLE,1,0.9682796597480774,0.14484554529190063,0.08999760448932648,0.0005785939865745604,0.0014741072664037347
32,0,IDLE,0,IDLE,1,0.997710108757019,0.016787763684988022,0.010430824011564255,4.230174454278313e-06,1.0702152394514997e-05
33,0,IDLE,0,IDLE,1,0.9935758113861084,0.04551883041858673,0.028282441198825836,1.7114221918745898e-05,5.7396104239160195e-05
34,0,IDLE,0,IDLE,1,0.9945265650749207,0.03823166340589523,0.02375466749072075,5.4161660045792814e-06,1.3352811038203072e-05
35,0,IDLE,0,IDLE,1,0.9779948592185974,0.11776336282491684,0.0731704905629158,0.00020968535682186484,0.0005997887928970158
36,0,IDLE,0,IDLE,1,0.9902825951576233,0.06260304898023605,0.03889746218919754,4.083927342435345e-05,0.00011603701568674296
37,0,IDLE,0,IDLE,1,0.9986042976379395,0.011472327634692192,0.007128158118575811,3.5316651292305323e-07,9.283209578825335e-07
38,0,IDLE,0,IDLE,1,0.9923248291015625,0.05012039840221405,0.031141553074121475,4.181249823886901e-05,9.972430416382849e-05
39,0,IDLE,0,IDLE,1,0.9893984794616699,0.061541780829429626,0.03823805972933769,9.00167360669002e-05,0.0002291046257596463
40,3,ROTATE_CW,3,ROTATE_CW,1,0.9996253848075867,0.003450601827353239,0.002143979538232088,2.046091367446934e-07,5.605605224445753e-07
41,3,ROTATE_CW,3,ROTATE_CW,1,0.9999977350234985,3.272014146205038e-05,2.0330166080384515e-05,3.433257150797786e-12,8.818687967371286e-12
42,3,ROTATE_CW,3,ROTATE_CW,1,0.9998301863670349,0.0016566893318668008,0.0010293589439243078,4.535624498203106e-08,1.1468375760159688e-07
43,3,ROTATE_CW,3,ROTATE_CW,1,0.999998927116394,1.6192352632060647e-05,1.0060874956252519e-05,1.1758973786010762e-12,3.918785435041983e-12
44,3,ROTATE_CW,3,ROTATE_CW,1,0.9999994039535522,9.103695447265636e-06,5.656444045598619e-06,3.3386764490203613e-13,1.0595612928709919e-12
45,3,ROTATE_CW,3,ROTATE_CW,1,0.9999932646751404,8.702794730197638e-05,5.407350181485526e-05,6.099309252105556e-11,1.5265293196176088e-10
46,3,ROTATE_CW,3,ROTATE_CW,1,0.9999955892562866,5.918529859627597e-05,3.677389395306818e-05,1.7400010252077713e-11,4.36102716439013e-11
47,3,ROTATE_CW,3,ROTATE_CW,1,0.9999999403953552,1.168142375718162e-06,7.258076379912382e-07,7.19020519122579e-15,2.0463631603042515e-14
48,3,ROTATE_CW,3,ROTATE_CW,1,0.9999995827674866,6.922437023604289e-06,4.301151875552023e-06,1.4632668991418352e-13,4.808953257308402e-13
49,3,ROTATE_CW,3,ROTATE_CW,1,1.0,3.493269957743905e-07,2.1704906316699635e-07,5.046394990508792e-17,2.233280451285788e-16
50,3,ROTATE_CW,3,ROTATE_CW,1,0.999708890914917,0.00273577100597322,0.001699830056168139,5.379893153190096e-08,1.445913540010224e-07
51,3,ROTATE_CW,3,ROTATE_CW,1,0.9998071193695068,0.001853926689364016,0.001151909469626844,5.897317478797959e-08,1.487749585749043e-07
52,3,ROTATE_CW,3,ROTATE_CW,1,0.9999996423721313,5.243305167823564e-06,3.2578486752754543e-06,7.870685711248299e-14,1.9820947726005567e-13
